Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Ryan,Roberts,Jack Forest 872,Rubioshire,71347,Danmark,DK,19480316-2032,+45,815.265.9778x51532,1948-03-16,True
Eva,Åström,Nyvägen 371,Eskilstuna,84599,Sverige,SE,19950626-6866,+46,08-878 257 74,1995-06-26,True
Johan,Hansson,Ekvägen 2,Trelleborg,51551,Sverige,SE,19530620-8588,+46,08-42 92 45,1953-06-20,True
Liv,Vik,Madsengata 383,Anngrunn,2594,Norge,NO,19880917-7602,+47,+4766372502,1988-09-17,True
Sara,Bergman,Parkstigen 624,Helsingborg,95339,Sverige,SE,19501005-3825,+46,08-280 84 46,1950-10-05,True
Hans,Petersson,Skolvägen 5,Kristianstad,89502,Sverige,SE,19730522-4128,+46,08-447 90 59,1973-05-22,True
Sue,Hall,Miller Lock 4562,Karenchester,09976,Danmark,DK,19450523-7502,+45,355-406-3903,1945-05-23,True
Cecilie,Birkeland,Svendsenstubben 6,Arnesen,4784,Norge,NO,19550603-5768,+47,16652832,1955-06-03,True
Marie,Eriksson,Villagränd 746,Östersund,88584,Sverige,SE,19940923-6798,+46,091-645 31 04,1994-09-23,True
Karin,Fredriksen,Karlsenbakken 8,Livborg,0085,Norge,NO,19781207-8220,+47,10 10 19 82,1978-12-07,True
Thomas,White,Heather Mountains 381,West Richard,56251,Danmark,DK,19540217-5539,+45,001-918-950-2529,1954-02-17,True
Bobby,Miller,Kyle Wall 339,Lake Laurieborough,65527,Danmark,DK,19930531-9043,+45,(687)836-8555x20998,1993-05-31,True
Sigurd,Sandvik,Sørensenfaret 2,Jonodden,2138,Norge,NO,19460716-5298,+47,17453174,1946-07-16,True
Marita,Karlsson,Industrivägen 7,Södertälje,45764,Sverige,SE,19810923-7612,+46,+46 (0)889 710 77,1981-09-23,True
Svea,Persson,Ängsvägen 0,Borlänge,17230,Sverige,SE,19421229-9941,+46,084-69 61 39,1942-12-29,True
Eli,Andersen,Myklebustbråten 6,Reidunsjøen,9841,Norge,NO,19631007-5446,+47,47515708,1963-10-07,True
Torsten,Andersson,Björkgatan 50,Halmstad,66674,Sverige,SE,19570420-6015,+46,+46 (0)8 710 041 54,1957-04-20,True
Julia,Sanders,Jefferson Mission 835,Jorgeville,98474,Danmark,DK,19770104-0125,+45,270.978.2463,1977-01-04,True
Robert,Persson,Fabriksgatan 34,Luleå,77044,Sverige,SE,19690425-7712,+46,+46 (0)47 05 06 66,1969-04-25,True
Ruth,Bakke,Tangenåsen 8,Elsegrunn,1125,Norge,NO,19611210-3771,+47,463 93 578,1961-12-10,True
Hans,Nilsson,Åkergatan 40,Falun,31787,Sverige,SE,19410513-8393,+46,019-57 11 92,1941-05-13,True
Frida,Magnusson,Kyrkvägen 05,Karlskoga,40022,Sverige,SE,19810429-3952,+46,08-24 44 54,1981-04-29,True
Thomas,Key,King Way 7382,West Lancetown,16040,Danmark,DK,19951228-3110,+45,001-356-265-6988x96875,1995-12-28,True
Katariina,Kivelä,Agronominkatu 323,Pelkosenniemi,39380,Finland,FI,19471223-250B,+358,+358 963146093,1947-12-23,True
Madeleine,Nygren,Backgatan 3,Östersund,33132,Sverige,SE,19560903-8779,+46,0384-03 62 30,1956-09-03,True
Christian,Anderson,Christine Estates 65969,North Steven,61699,Danmark,DK,19420902-0924,+45,(239)355-6157x65599,1942-09-02,True
Matilda,Olausson,Strandgatan 9,Falun,22194,Sverige,SE,19770208-5055,+46,0024-85 85 82,1977-02-08,True
Bridget,Harper,Danielle Springs 59123,Mooretown,45175,Danmark,DK,19760310-9529,+45,588-315-3791,1976-03-10,True
Fredrik,Norman,Kyrkvägen 12,Sandviken,26026,Sverige,SE,19800406-4078,+46,+46 (0)8 479 729 75,1980-04-06,True
Sigurd,Gustavsson,Storvägen 220,Motala,11964,Sverige,SE,19930610-2351,+46,039-524 00 57,1993-06-10,True
Roland,Mattsson,Trädgårdsgränd 0,Umeå,43610,Sverige,SE,19641202-2204,+46,0807-85 18 14,1964-12-02,True
Gun,Håkansson,Skolgatan 840,Ängelholm,40687,Sverige,SE,19800724-3541,+46,+46 (0)8 769 382 61,1980-07-24,True
Anna,Edvardsen,Solheimskrenten 35,Bakke,1838,Norge,NO,19450831-8740,+47,480 48 224,1945-08-31,True
Torsten,Bäckström,Ringtorget 616,Göteborg,66893,Sverige,SE,19941021-8181,+46,0798-67 39 84,1994-10-21,True
Ingegerd,Nilsson,Parkvägen 358,Stockholm,54367,Sverige,SE,19991003-7909,+46,08-715 431 95,1999-10-03,True
Peter,Pettersson,Parkgatan 50,Motala,55592,Sverige,SE,19890309-4258,+46,08-37 90 90,1989-03-09,True
Svea,Blom,Parkgatan 805,Karlskrona,74699,Sverige,SE,19580919-1837,+46,0880-978 73,1958-09-19,True
Ester,Eriksson,Kyrkgatan 745,Luleå,57652,Sverige,SE,19520420-3891,+46,074-13 02 99,1952-04-20,True
Helena,Kumpulainen,Saanatunturinbulevardi 21,Parainen,59147,Finland,FI,19680623-8960,+358,+358711444295,1968-06-23,True
Eva,Jonsson,Skolstigen 93,Varberg,72455,Sverige,SE,19841213-5422,+46,+46 (0)57 58 88 68,1984-12-13,True
Marte,Nielsen,Rasmussenstien 6,Strøm,9939,Norge,NO,19950315-5700,+47,95491896,1995-03-15,True
Thomas,Haynes,Miller Summit 994,Garyhaven,27973,Danmark,DK,19991201-9010,+45,+1-586-530-4777x70389,1999-12-01,True
Susan,Wood,Gates Junctions 27137,North Nicoleshire,49341,Danmark,DK,19841002-3570,+45,781-280-6404x1615,1984-10-02,True
Marianne,Roos,Villagatan 71,Lidköping,10874,Sverige,SE,19981008-7003,+46,08-833 967 50,1998-10-08,True
Kristina,Persson,Industrigatan 2,Skövde,49353,Sverige,SE,19900106-0289,+46,028-85 67 76,1990-01-06,True
Elisabet,Andersson,Bäckvägen 66,Trollhättan,96487,Sverige,SE,19570728-3768,+46,08-450 387 22,1957-07-28,True
Jamie,Henderson,Amy Drives 3196,Jimmybury,17581,Danmark,DK,19621129-5872,+45,7572595998,1962-11-29,True
Tore,Knudsen,Andreassentoppen 5,Sveingrunn,0610,Norge,NO,19790313-8275,+47,30 12 27 48,1979-03-13,True
Michael,Rangel,Chung Vista 1201,East Kylechester,75183,Danmark,DK,19450319-8984,+45,001-200-420-9509x975,1945-03-19,True
Tobias,Larsson,Aspgatan 60,Borlänge,54579,Sverige,SE,19660630-1773,+46,08-995 77 59,1966-06-30,True
Ann-Marie,Jönsson,Fabriksgränd 79,Södertälje,32843,Sverige,SE,19600412-1527,+46,08-855 24 50,1960-04-12,True
Karl,Karlsson,Ekstigen 82,Lund,47535,Sverige,SE,19470109-0168,+46,+46 (0)22 29 73 51,1947-01-09,True
Björn,Ekman,Grantorget 55,Linköping,78608,Sverige,SE,19441011-9388,+46,088-285 65 92,1944-10-11,True
Eli,Ødegård,Madsentunet 7,Mathiassand,2037,Norge,NO,19630313-0908,+47,10 56 93 03,1963-03-13,True
Olof,Larsson,Industrigatan 1,Karlskrona,64446,Sverige,SE,19750321-8937,+46,086-002 93 33,1975-03-21,True
Diana,Collins,Sawyer Lake 7163,East Rachel,26318,Danmark,DK,19491016-1854,+45,293-415-6426,1949-10-16,True
Adam,Johansson,Parkvägen 9,Norrköping,35091,Sverige,SE,19600304-8772,+46,+46 (0)67 62 55 44,1960-03-04,True
Aukusti,Ihalainen,Puroniitynkatu 8,Paltamo,55025,Sverige,FI,19910712-282S,+358,0423086401,1991-07-12,True
Maria,Lilja,Nystigen 88,Jönköping,19530,Sverige,SE,19461028-8039,+46,+46 (0)54 10 80 97,1946-10-28,True
Nina,Jensen,Jakobsenhaugen 3,Ingerby,7311,Norge,NO,19720428-2699,+47,25170574,1972-04-28,True
